City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Miramar,25.9873,-80.2323,62.62,59,0,0.0,US,2023-01-17 02:20:03
140,Patti,31.2808,74.8572,35.67,72,0,2.95,IN,2023-01-17 02:20:04
141,Republic,37.12,-93.4802,53.11,50,0,4.61,US,2023-01-17 02:20:05
142,Bonavista,48.6499,-53.1147,37.17,100,100,21.88,CA,2023-01-17 02:20:06
143,Marawi,7.9986,124.2928,77.02,79,100,1.57,PH,2023-01-17 02:20:07
144,Lapeer,43.0514,-83.3188,35.8,87,100,10.36,US,2023-01-17 02:19:18
145,Soyo,-6.1349,12.3689,78.49,86,100,5.08,AO,2023-01-17 02:20:08
146,Aswan,24.0934,32.907,54.18,53,24,8.19,EG,2023-01-17 02:20:09
147,Dzhalka,43.3186,45.9879,31.08,95,47,2.33,RU,2023-01-17 02:20:10
148,Ponta Do Sol,32.6667,-17.1,59.63,59,32,4.45,PT,2023-01-17 02:20:11
149,Urumqi,43.801,87.6005,-13.85,84,75,0.0,CN,2023-01-17 02:20:12
150,Balikpapan,-1.2675,116.8289,84.09,67,73,1.97,ID,2023-01-17 02:20:13
151,Novochernorechenskiy,56.2669,91.0828,11.08,93,100,12.91,RU,2023-01-17 02:20:14
152,Bandarbeyla,9.4942,50.8122,74.28,77,65,14.12,SO,2023-01-17 02:20:14
153,Tilichiki,60.4667,166.1,-17.64,93,16,8.43,RU,2023-01-17 02:20:15
154,Westport,41.1415,-73.3579,37.78,54,0,8.05,US,2023-01-17 02:15:16
155,Gat,31.61,34.7642,54.39,100,5,5.75,IL,2023-01-17 02:20:17
156,Forio,40.7342,13.8646,57.81,75,100,5.99,IT,2023-01-17 02:20:17
157,Ballina,-28.8667,153.5667,83.01,66,3,9.95,AU,2023-01-17 02:20:18
158,Codrington,-38.2667,141.9667,97.63,18,89,12.86,AU,2023-01-17 02:17:41
159,Waddan,29.1614,16.139,52.48,42,0,6.78,LY,2023-01-17 02:20:20
160,Ourossogui,15.6064,-13.3211,75.58,12,99,11.25,SN,2023-01-17 02:20:21
161,Muravlenko,63.7898,74.523,3.13,97,100,8.55,RU,2023-01-17 02:20:23
162,Tual,-5.6667,132.75,83.3,71,100,6.55,ID,2023-01-17 02:20:24
163,Kavaratti,10.5669,72.642,79.23,73,26,7.76,IN,2023-01-17 02:20:25
164,San Isidro,-12.1167,-77.05,77.02,60,0,16.11,PE,2023-01-17 02:20:26
165,Banamba,13.55,-7.45,65.71,17,4,8.39,ML,2023-01-17 02:18:24
166,Provideniya,64.3833,-173.3,3.31,60,75,29.08,RU,2023-01-17 02:20:27
167,Hamilton,39.1834,-84.5333,47.25,91,100,17.27,US,2023-01-17 02:20:28
168,Marfino,55.7028,37.3822,28.54,92,100,11.18,RU,2023-01-17 02:20:29
169,Dolores,-36.3132,-57.6792,69.31,80,9,9.75,AR,2023-01-17 02:20:30
170,Predivinsk,57.0669,93.4378,13.33,93,100,10.13,RU,2023-01-17 02:20:31
171,Anchorage,61.2181,-149.9003,31.86,90,75,6.91,US,2023-01-17 02:20:05
172,Beringovskiy,63.05,179.3167,-4.45,89,100,20.24,RU,2023-01-17 02:20:32
173,Kapaa,22.0752,-159.319,81.12,71,0,6.91,US,2023-01-17 02:18:45
174,Porto Empedocle,37.2934,13.5264,57.31,74,100,14.58,IT,2023-01-17 02:20:34
175,Chake Chake,-5.2459,39.7666,77.2,84,47,6.89,TZ,2023-01-17 02:20:35
176,Brae,60.3964,-1.353,39.36,63,95,20.87,GB,2023-01-17 02:20:36
177,Methoni,36.8197,21.7049,59.22,76,61,20.71,GR,2023-01-17 02:20:36
178,Gubkinskiy,64.434,76.5026,-10.77,94,100,8.77,RU,2023-01-17 02:21:38
179,Chuy,-33.6971,-53.4616,67.55,80,0,8.43,UY,2023-01-17 02:21:38
180,Sume,-7.6717,-36.88,73.17,73,100,10.58,BR,2023-01-17 02:21:39
181,Ardahan,41.1087,42.7022,12.45,96,80,1.54,TR,2023-01-17 02:21:39
182,Antofagasta,-23.65,-70.4,67.28,83,22,4.21,CL,2023-01-17 02:21:40
183,Buraydah,26.326,43.975,55.85,77,94,9.82,SA,2023-01-17 02:21:41
184,Maltahohe,-24.8333,16.9833,72.45,48,80,1.52,NA,2023-01-17 02:21:41
185,Derzhavinsk,51.1,66.3167,-9.85,67,36,2.21,KZ,2023-01-17 02:21:42
186,Manyana,-23.4,21.7167,70.16,52,4,6.08,BW,2023-01-17 02:21:43
187,Tianpeng,30.9866,103.9393,38.62,45,26,2.46,CN,2023-01-17 02:21:44
188,Tuatapere,-46.1333,167.6833,64.26,65,52,8.48,NZ,2023-01-17 02:21:44
189,Cockburn Town,21.4612,-71.1419,74.25,53,0,9.08,TC,2023-01-17 02:18:54
190,Te Anau,-45.4167,167.7167,73.18,44,20,4.03,NZ,2023-01-17 02:21:45
191,Casper,42.8666,-106.3131,23.59,80,0,5.75,US,2023-01-17 02:17:29
192,Henties Bay,-22.116,14.2845,67.84,83,100,4.52,NA,2023-01-17 02:21:46
193,Zhigansk,66.7697,123.3711,-58.79,100,72,3.94,RU,2023-01-17 02:21:46
194,Cabo San Lucas,22.8909,-109.9124,71.51,71,40,8.05,MX,2023-01-17 02:21:47
195,Turka,49.1541,23.0297,32.79,93,100,11.05,UA,2023-01-17 02:21:47
196,Lorengau,-2.0226,147.2712,83.19,72,100,5.1,PG,2023-01-17 02:21:48
197,San Juan,-31.5375,-68.5364,86.59,28,100,14.12,AR,2023-01-17 02:16:49
198,Sobolevo,54.4299,31.8996,31.17,97,100,13.13,RU,2023-01-17 02:21:49
199,Tarakan,3.3,117.6333,80.51,76,26,3.4,ID,2023-01-17 02:21:50
200,Salalah,17.0151,54.0924,73.49,78,75,2.3,OM,2023-01-17 02:21:50
201,Vilyuysk,63.7553,121.6247,-53.84,100,89,2.75,RU,2023-01-17 02:21:51
202,Clyde River,70.4692,-68.5914,-10.97,84,100,5.75,CA,2023-01-17 02:17:01
